,id
2358,1199101874256769025
2359,1199103827481440263
2360,1199113098407399425
2361,1199150834614968320
2362,1199161468740128768
2363,1199164995801509888
2364,1199182138332958720
2365,1199184356398362624
2366,1199184881017712640
2367,1199203835400507392
2368,1199206170545795072
2369,1199222193957330944
2370,1199233890688352256
2371,1199246973196357632
2372,1199252389007708160
2373,1199256855266123776
2374,1199267246641680384
2375,1199269753463828480
2376,1199286252589076480
2377,1199301728413220865
2378,1199333502136676356
2379,1199335675880865792
2380,1199340760551673858
2381,1199341217554690049
2382,1199342574487474182
2383,1199344762311987200
2384,1199345281902317568
2385,1199351068670517248
2386,1199352946187800578
2387,1199352973568151552
2388,1199362381559844864
2389,1199365376120889344
2390,1199380395567042560
2391,1199395664326619136
2392,1199398721345196032
2393,1199536919522136064
2394,1199564887409577988
2395,1199595261472854016
2396,1199616939548696576
2397,1199624582212268033
2398,1199625288512102400
2399,1199626276824375296
2400,1199627805941796864
2401,1199634895846477824
2402,1199643704136491008
2403,1199644263216287745
2404,1199645453794627584
2405,1199647180950126592
2406,1199658318496747521
2407,1199659970146504704
2408,1199661841238175746
2409,1199662480118517760
2410,1199664876454584320
2411,1199673230539272192
2412,1199674089213956096
2413,1199676359024545794
2414,1199681288107700226
2415,1199694688963481601
2416,1199719593452986369
2417,1199753784781615105
2418,1199766432780697600
2419,1199786942390579200
2420,1199818811232411648
2421,1199830110888706048
2422,706102008839696384
2423,977183210051338241
2424,977232473254977536
2425,1126810275255136256
2426,1163420761522147328
2427,1177605758973808640
2428,1178324936924057600
2429,1181986931036565505
2430,1182327001153073152
2431,1182470062701236227
2432,1184597281808498688
2433,1186688920446230529
2434,1186705454862422018
2435,1187106846651207681
2436,1189852240456142848
2437,1193981809278758914
2438,1194389911639642115
2439,1196152256808333312
2440,1196879890676621312
2441,1197589018789240833
2442,1197731150547968000
2443,1197837291554775040
2444,1198509772795834368
2445,1198921926371995648
2446,1198939012288974848
2447,1199119380774359045
2448,1199134282452746240
2449,1199262803036639232
2450,1199340947458281473
2451,1199485863857655808
2452,1199515830477705216
2453,1199585942220296192
2454,1199621162529153024
2455,1199699932111867904
2456,1199721905080672257
2457,1199725757762850819
2458,1199752117474545665
2459,1199809089821446144
2460,1199818259895373825
2461,1199829366341062656
2462,1199869509710098432
2463,1199890365815255041
2464,1199926134818738176
2465,1199943630779109376
2466,1199957928041689088
2467,1199971965857128449
2468,1199985559952867328
2469,1200082588423139333
2470,1200082671638061056
2471,1200103848066650112
2472,1200112941170937859
2473,1200123859833413634
2474,1200129334092161026
2475,1200137536271736832
2476,1200143135344603137
2477,1200147705500188672
2478,1200150327477121067
2479,1200166068741902337
2480,1200216347763978240
2481,1200261361391017984
2482,1200288820668829696
2483,1200340368929312768
2484,1200351285846970369
2485,1200359873533431808
2486,1200378776481411073
2487,1200392648667860992
2488,1200423213672648704
2489,1200445717992681480
2490,1200453504025997313
2491,1200469072070103040
2492,1200500827082899459
2493,1200519891129950208
2494,1200521677534355464
2495,1200529622401765378
2496,1200602094165606400
2497,1200724810277556224
2498,1200726069449351168
2499,1200727842469941248
2500,1200746839957524481
2501,1200747361783484422
2502,1200761311933677568
2503,1200792218749022213
2504,1200799941444153346
2505,1200815822853328898
2506,1200829426084302849
2507,1200833556894879748
2508,1200834370694733825
2509,1200841857070186497
2510,1200863311530790915
2511,1200863674732298240
2512,1200863946888089601
2513,1200996874477604864
2514,1201052030833512448
2515,735448311914602496
2516,893532359676616705
2517,900072015255699457
2518,901863932197044224
2519,904562744132849664
2520,912087174421544960
2521,1200835120019595265
2522,1201054345162346496
2523,1201001379856363522
2524,1201088713163464705
2525,1201063783814356998
2526,1201055931158683648
2527,1201078027612049413
2528,1200445595464486912
2529,1200444458069897218
2530,1200513388889223169
2531,1200453283120386050
2532,1201004395267285000
2533,1201002972915867653
2534,id
2535,1019471467304513537
2536,1069662427850178561
2537,1074005071879385088
2538,1074319076766433280
2539,1111965027483951105
2540,1144300642061754368
2541,1164914963766546435
2542,1189643303861608448
2543,1191624997028057088
2544,1192513878623694848
2545,1194658326279282689
2546,1194675874148290560
2547,1195565247408607232
2548,1195978632327356417
2549,1195986700880764929
2550,1196425019510984706
2551,1196503550064508928
2552,1196943119499046914
2553,1196964856299229184
2554,1196973332689833985
2555,1197252819054522368
2556,1197253332244385793
2557,1197290389172051969
2558,1197467875033931781
2559,1197550571831668737
2560,1197916570837831685
2561,1197994579657539584
2562,1198665230273974272
2563,1198692474224627712
2564,1199118733777735680
2565,1199249637103804416
2566,1199707763498266627
2567,1199751094328541185
2568,1199752988857778176
2569,1199753625465053184
2570,1199753919695597568
2571,1199808043870908416
2572,1199892260260728832
2573,1200067762397290496
2574,1200129633074794497
2575,1200261372015194113
2576,1200298687064354816
2577,1200516493823430657
2578,1200626186793041921
2579,1200752213884362753
2580,1200782901996077057
2581,1200783509356531712
2582,1200849063614267393
2583,1200851893133680640
2584,1200861413599858688
2585,1200867886925058049
2586,1200886512088428544
2587,1200914077662547969
2588,1201107385080827906
2589,1201110400936210432
2590,1201115438333206529
2591,1201132142685818884
2592,1201192793147924488
2593,1201195555273281536
2594,1201195713604018177
2595,1201202696226836482
2596,1201205234082754561
2597,1201210335824424967
2598,1201236545069436928
2599,1201237029562060800
2600,1201240909062520832
2601,1201243889375629312
2602,1201247805840474113
2603,1201263949594976258
2604,1201264752648970240
2605,1201271395554152448
2606,1201279151967293445
2607,1201287122218602497
2608,1201289922306543616
2609,1201300393155792897
2610,1201317368410058752
